"","means","scales"
"min.of.mean",4.04206635588698e+20,2.77094426890937e+21
"min.of.std",-322145.725325748,2208399.424576
"kurtosis.of.min",6.98483761837542,12.5286673580512
"numFeatures",-322123.642105263,2208402.68053882
"logNumFeatures",2.65349089892597,1.30513002937986
